RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
20,LSULSU,0-1,401,14,"vs Mississippi State<span class=""red""> L </span>44-34 ","@ Vanderbilt<span class=""green""> W </span>41-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&w=40&h=40,LSU,5,AP Poll,20
21,TENNTennessee,1-0,377,5,"@ South Carolina<span class=""green""> W </span>31-27 ","vs Missouri<span class=""green""> W </span>35-12 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&w=40&h=40,Tennessee,5,AP Poll,21
22,BYUBYU,2-0,295,4,"vs Troy<span class=""green""> W </span>48-7 ","vs Louisiana Tech<span class=""green""> W </span>45-14 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&w=40&h=40,BYU,5,AP Poll,22
23,MICHMichigan,0-0,277,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&w=40&h=40,Michigan,5,AP Poll,23
24,PITTPittsburgh,3-0,248,3,"vs #24 Louisville<span class=""green""> W </span>23-20 ","vs NC State<span class=""red""> L </span>30-29 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&w=40&h=40,Pittsburgh,5,AP Poll,24
25,MEMMemphis,1-0,196,8, - ,"@ SMU<span class=""red""> L </span>30-27 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&w=40&h=40,Memphis,5,AP Poll,25
1,CLEMClemson(52),3-0,1536,-,"vs Virginia<span class=""green""> W </span>41-23 ","vs #7 Miami<span class=""green""> W </span>42-17 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,6,AP Poll,1
2,ALAAlabama(8),2-0,1488,-,"vs #13 Texas A&M<span class=""green""> W </span>52-24 ","@ Ole Miss<span class=""green""> W </span>63-48 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,6,AP Poll,2
3,UGAGeorgia,2-0,1380,1,"vs #7 Auburn<span class=""green""> W </span>27-6 ","vs #14 Tennessee<span class=""green""> W </span>44-21 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,6,AP Poll,3
4,FLAFlorida,2-0,1340,1,"vs South Carolina<span class=""green""> W </span>38-24 ","@ #21 Texas A&M<span class=""red""> L </span>41-38 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,6,AP Poll,4
5,NDNotre Dame,2-0,1239,-, - ,"vs Florida State<span class=""green""> W </span>42-26 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,6,AP Poll,5
6,OSUOhio State(2),0-0,1165,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&w=40&h=40,Ohio State,6,AP Poll,6
7,MIAMIMiami,3-0,1148,1, - ,"@ #1 Clemson<span class=""red""> L </span>42-17 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&w=40&h=40,Miami,6,AP Poll,7
8,UNCNorth Carolina,2-0,944,4,"@ Boston College<span class=""green""> W </span>26-22 ","vs #19 Virginia Tech<span class=""green""> W </span>56-45 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=40&h=40,North Carolina,6,AP Poll,8
9,PSUPenn State,0-0,935,1, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&w=40&h=40,Penn State,6,AP Poll,9
