RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
25,UCFUCF,2-1,127,13,"vs Tulsa<span class=""red""> L </span>34-26 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&w=40&h=40,UCF,6,Coaches Poll,25
1,CLEMClemson(55),4-0,1543,-,"vs #7 Miami<span class=""green""> W </span>42-17 ",@ Georgia Tech  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,7,Coaches Poll,1
2,ALAAlabama(5),3-0,1478,-,"@ Ole Miss<span class=""green""> W </span>63-48 ",vs #3 Georgia  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,7,Coaches Poll,2
3,UGAGeorgia,3-0,1424,-,"vs #12 Tennessee<span class=""green""> W </span>44-21 ",@ #2 Alabama  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,7,Coaches Poll,3
4,NDNotre Dame,3-0,1332,1,"vs Florida State<span class=""green""> W </span>42-26 ",vs Louisville  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,7,Coaches Poll,4
5,OSUOhio State(2),0-0,1194,1, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&w=40&h=40,Ohio State,7,Coaches Poll,5
6,UNCNorth Carolina,3-0,1175,3,"vs #18 Virginia Tech<span class=""green""> W </span>56-45 ",@ Florida State  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=40&h=40,North Carolina,7,Coaches Poll,6
7,OKSTOklahoma State,3-0,1056,3, - ,@ Baylor  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&w=40&h=40,Oklahoma State,7,Coaches Poll,7
8,PSUPenn State,0-0,1005,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&w=40&h=40,Penn State,7,Coaches Poll,8
9,FLAFlorida,2-1,928,6,"@ #20 Texas A&M<span class=""red""> L </span>41-38 ",vs LSU  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,7,Coaches Poll,9
10,CINCincinnati,3-0,906,1, - ,@ Tulsa  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&w=40&h=40,Cincinnati,7,Coaches Poll,10
11,TA&MTexas A&M,2-1,801,9,"vs #3 Florida<span class=""green""> W </span>41-38 ",@ Mississippi State  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,7,Coaches Poll,11
12,MIAMIMiami,3-1,795,5,"@ #1 Clemson<span class=""red""> L </span>42-17 ",vs Pittsburgh  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&w=40&h=40,Miami,7,Coaches Poll,12
13,BYUBYU,4-0,759,2,"vs UTSA<span class=""green""> W </span>27-20 ",@ Houston  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&w=40&h=40,BYU,7,Coaches Poll,13
14,AUBAuburn,2-1,735,1,"vs Arkansas<span class=""green""> W </span>30-28 ",@ South Carolina  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,7,Coaches Poll,14
15,WISCWisconsin,0-0,687,1, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=40&h=40,Wisconsin,7,Coaches Poll,15
16,OREOregon,0-0,646,1, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&w=40&h=40,Oregon,7,Coaches Poll,16
17,TENNTennessee,2-1,505,5,"@ #3 Georgia<span class=""red""> L </span>44-21 ",vs Kentucky  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&w=40&h=40,Tennessee,7,Coaches Poll,17
18,SMUSMU,4-0,464,3, - ,@ Tulane  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&w=40&h=40,SMU,7,Coaches Poll,18
19,MICHMichigan,0-0,454,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&w=40&h=40,Michigan,7,Coaches Poll,19
20,ISUIowa State,3-1,372,4,"vs Texas Tech<span class=""green""> W </span>31-15 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&w=40&h=40,Iowa State,7,Coaches Poll,20
21,ULLouisiana,3-0,280,2, - ,vs Coastal Carolina  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&w=40&h=40,Louisiana,7,Coaches Poll,21
22,KSUKansas State,3-1,276,NR,"@ TCU<span class=""green""> W </span>21-14 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png&w=40&h=40,Kansas State,7,Coaches Poll,22
23,VTVirginia Tech,2-1,156,5,"@ #9 North Carolina<span class=""red""> L </span>56-45 ",vs Boston College  ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=40&h=40,Virginia Tech,7,Coaches Poll,23
24,USCUSC,0-0,147,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&w=40&h=40,USC,7,Coaches Poll,24
25,MINNMinnesota,0-0,146,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&w=40&h=40,Minnesota,7,Coaches Poll,25
